"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"0","239.70754139089541","341.3514814890324","0.005126953125","0.0029296875","0.00732421875","2200","0.00012109307489867227","32","0.00012109307489867227","0","0.00012109307489867227","0.00012109307489867227","1:0.0008309034273122351","1:68","1:0.0010004540639450832","0.005126953125","0.00439453125","Yes"
"1","305.3985359684509","591.6983988925912","0.0068359375","0.01171875","0.001953125","2200","0.00009299955064555977","32","0.00009299955064555977","0","0.00009299955064555977","0.00009299955064555977","2:0.011626616587923161;0:0.0008309034273122351","2:68;0:68","2:0.015869985216366234;0:0.0010004540639450832","0.0068359375","0.00390625","Yes"
"2","16.164930063645855","31.06998369676554","0.02392578125","0.046875","0.0009765625","2200","0.0007804185775978214","32","0.0007804185775978214","0","0.0007804185775978214","0.0007804185775978214","1:0.011626616587923161;3:0.00952567400138582","1:68;3:88","1:0.015869985216366234;3:0.008369125346438383","0.02392578125","0.010986328125","Yes"
"3","279.2443869932338","421.4542668678583","0.001953125","0.00244140625","0.00146484375","2200","0.00008983355241565522","32","0.00008983355241565522","0","0.00008983355241565522","0.00008983355241565522","16:0.0007063788296882145;2:0.00952567400138582;4:0.0014635357718589537","16:68;2:88;4:68","16:0.001496285118920082;2:0.008369125346438383;4:0.0007546109733280737","0.001953125","0.00244140625","Yes"
"4","236.49294704043504","378.5149350062827","0.0048828125","0.00537109375","0.00439453125","2200","0.00008189674036603147","32","0.00008189674036603147","0","0.00008189674036603147","0.00008189674036603147","3:0.0014635357718589537;5:0.00529129349865462","3:68;5:68","3:0.0007546109733280737;5:0.0017319589149675796","0.0048828125","0.00244140625","Yes"
"5","321.8071611870544","362.8624976116962","0.017578125","0.0322265625","0.0029296875","2200","0.0001924606804926778","32","0.0001924606804926778","0","0.0001924606804926778","0.0001924606804926778","6:0.0065184147541284265;4:0.00529129349865462","6:68;4:68","6:0.0019981118128824527;4:0.0017319589149675796","0.017578125","0.006591796875","Yes"
"6","278.62900035284713","295.65131729270325","0.002685546875","0.00439453125","0.0009765625","2200","0.0001606741129652536","32","0.0001606741129652536","0","0.0001606741129652536","0.0001606741129652536","5:0.0065184147541284265;7:0.0008305269393565073","5:68;7:68","5:0.0019981118128824527;7:0.0012675001150866672","0.002685546875","0.002685546875","Yes"
"7","201.0094894804424","295.250250895525","0.00634765625","0.009765625","0.0029296875","2200","0.00009190454477192452","32","0.00009190454477192452","0","0.00009190454477192452","0.00009190454477192452","17:0.0010548444976435922;6:0.0008305269393565073;8:0.0008602980421794915","17:68;6:68;8:68","17:0.0010107487115977587;6:0.0012675001150866672;8:0.0020460964733872433","0.00634765625","0.003662109375","Yes"
"8","144.7362179275973","237.142488006145","0.00927734375","0.01513671875","0.00341796875","2200","0.00020636370194428204","32","0.00020636370194428204","0","0.00020636370194428204","0.00020636370194428204","9:0.003649858246246529;7:0.0008602980421794915","9:68;7:68","9:0.0045827353780703295;7:0.0020460964733872433","0.00927734375","0.005126953125","Yes"
"9","70.30033011404491","100.81599949865095","0.00439453125","0.0078125","0.0009765625","2200","0.0005768943960639758","32","0.0005768943960639758","0","0.0005768943960639758","0.0005768943960639758","8:0.003649858246246529;10:0.01420944466783583","8:68;10:68","8:0.0045827353780703295;10:0.014054195069749198","0.00439453125","0.00634765625","Yes"
"10","223.12971194821836","147.5681134717163","0.03564453125","0.0556640625","0.015625","2200","0.0008137943418802427","32","0.0008137943418802427","0","0.0008137943418802427","0.0008137943418802427","9:0.01420944466783583;11:0.004482924957063261","9:68;11:68","9:0.014054195069749198;11:0.0038429016526903836","0.03564453125","0.0078125","Yes"
"11","262.7852048069681","312.05326331035593","0.00830078125","0.01611328125","0.00048828125","2200","0.0004073725536166967","32","0.0004073725536166967","0","0.0004073725536166967","0.0004073725536166967","18:0.00416145353577177;10:0.004482924957063261;12:0.007838861303432615","18:68;10:68;12:68","18:0.002405706014363157;10:0.0038429016526903836;12:0.006763167505108275","0.00830078125","0.00244140625","Yes"
"12","235.7317558493217","305.28343588447916","0.003662109375","0.0068359375","0.00048828125","2200","0.00012447992687285783","32","0.00012447992687285783","0","0.00012447992687285783","0.00012447992687285783","13:0.0012127246752456078;11:0.007838861303432615","13:68;11:68","13:0.001025745841836928;11:0.006763167505108275","0.003662109375","0.00146484375","Yes"
"13","213.66057250609444","300.9265971734285","0.00537109375","0.0087890625","0.001953125","2200","0.00020038796011362825","32","0.00020038796011362825","0","0.00020038796011362825","0.00020038796011362825","12:0.0012127246752456078;14:0.0010036194835311985","12:68;14:68","12:0.001025745841836928;14:0.0012399910478771703","0.00537109375","0.005859375","Yes"
"14","285.1200459752897","476.6846022182473","0.003173828125","0.00634765625","0","2200","0.00007824127282879814","32","0.00007824127282879814","0","0.00007824127282879814","0.00007824127282879814","15:0.0009171456569302128;13:0.0010036194835311985","15:68;13:68","15:0.0008505927983873673;13:0.0012399910478771703","0.003173828125","0.000732421875","Yes"
"15","262.03038126897036","339.6004492057469","0.006591796875","0.01171875","0.00146484375","2200","0.00008389690803812468","32","0.00008389690803812468","0","0.00008389690803812468","0.00008389690803812468","14:0.0009171456569302128;19:0.0010235591611188477","14:68;19:68","14:0.0008505927983873673;19:0.0009230033229391255","0.006591796875","0.005615234375","Yes"
"16","245.4188267367373","450.26141203597285","0.00244140625","0.0029296875","0.001953125","2200","0.00012923886607934786","32","0.00012923886607934786","0","0.00012923886607934786","0.00012923886607934786","23:0.0007196380921676848;3:0.0007063788296882145","23:68;3:68","23:0.0006537756737033662;3:0.001496285118920082","0.00244140625","0.007080078125","Yes"
"17","102.27403818670014","124.68954131387194","0.00927734375","0.01416015625","0.00439453125","2200","0.00021692263027433157","32","0.00021692263027433157","0","0.00021692263027433157","0.00021692263027433157","7:0.0010548444976435922;27:0.0027497700356242383","7:68;27:68","7:0.0010107487115977587;27:0.002344220797860397","0.00927734375","0.005126953125","Yes"
"18","286.8941722938014","285.5583066964767","0.00244140625","0.00439453125","0.00048828125","2200","0.00009099930939163136","32","0.00009099930939163136","0","0.00009099930939163136","0.00009099930939163136","11:0.00416145353577177;31:0.0010903530181359533","11:68;31:68","11:0.002405706014363157;31:0.0011349648706019677","0.00244140625","0.000732421875","Yes"
"19","299.7321322536923","429.3764505881289","0.00244140625","0.00390625","0.0009765625","2200","0.00012876828983276765","32","0.00012876828983276765","0","0.00012876828983276765","0.00012876828983276765","35:0.0006729792533162748;15:0.0010235591611188477","35:68;15:68","35:0.0008506808309755864;15:0.0009230033229391255","0.00244140625","0.005859375","Yes"
"20","321.24618008330987","479.92620423144416","0.005859375","0.0087890625","0.0029296875","2200","0.00007561429304337072","32","0.00007561429304337072","0","0.00007561429304337072","0.00007561429304337072","21:0.0013816312200126968","21:68","21:0.0008819149098173995","0.005859375","0.0029296875","Yes"
"21","286.11872132789136","249.31358313586856","0.009521484375","0.00927734375","0.009765625","2200","0.00013932463428549462","32","0.00013932463428549462","0","0.00013932463428549462","0.00013932463428549462","36:0.0009476454784052013;20:0.0013816312200126968;22:0.0006984342476061001","36:68;20:68;22:68","36:0.0009718245983215412;20:0.0008819149098173995;22:0.001290126565739097","0.009521484375","0.006591796875","Yes"
"22","219.57190402471358","237.57414159723922","0.000732421875","0.0009765625","0.00048828125","2200","0.00016153189467658596","32","0.00016153189467658596","0","0.00016153189467658596","0.00016153189467658596","23:0.0008461247564614249;21:0.0006984342476061001","23:68;21:68","23:0.0009194307953611092;21:0.001290126565739097","0.000732421875","0.0029296875","Yes"
"23","224.9222317259897","233.15964062330073","0.002197265625","0.00439453125","0","2200","0.00015860262152228105","32","0.00015860262152228105","0","0.00015860262152228105","0.00015860262152228105","22:0.0008461247564614249;24:0.0008782884641762856;16:0.0007196380921676848","22:68;24:68;16:68","22:0.0009194307953611092;24:0.0008947396209786906;16:0.0006537756737033662","0.002197265625","0.00146484375","Yes"
"24","232.18063907678516","292.8411120708033","0.00732421875","0.00927734375","0.00537109375","2200","0.00011948932183058171","32","0.00011948932183058171","0","0.00011948932183058171","0.00011948932183058171","23:0.0008782884641762856;25:0.0009733558177422996","23:68;25:68","23:0.0008947396209786906;25:0.0010009130972493674","0.00732421875","0.00244140625","Yes"
"25","299.8499032475213","295.4828481752005","0.00390625","0.00537109375","0.00244140625","2200","0.0001690694854873803","32","0.0001690694854873803","0","0.0001690694854873803","0.0001690694854873803","24:0.0009733558177422996;26:0.0012401435657984627;37:0.0011495289890794402","24:68;26:68;37:68","24:0.0010009130972493674;26:0.0010979725459118461;37:0.001280484398652082","0.00390625","0.003662109375","Yes"
"26","252.58112404484834","230.72331614777494","0.00341796875","0.00634765625","0.00048828125","2200","0.00010291896168044043","32","0.00010291896168044043","0","0.00010291896168044043","0.00010291896168044043","25:0.0012401435657984627;27:0.001796192026562976","25:68;27:68","25:0.0010979725459118461;27:0.0018935995202156164","0.00341796875","0.00390625","Yes"
"27","275.02103575752943","283.571007052867","0.05810546875","0.09814453125","0.01806640625","2200","0.001769679193299028","32","0.001769679193299028","0","0.001769679193299028","0.001769679193299028","26:0.001796192026562976;28:0.0024062254619620915;17:0.0027497700356242383","26:68;28:68;17:68","26:0.0018935995202156164;28:0.00249422188066023;17:0.002344220797860397","0.05810546875","0.049560546875","Yes"
"28","298.25783701072766","407.05682146117823","0.004638671875","0.00732421875","0.001953125","2200","0.00012167689153097814","32","0.00012167689153097814","0","0.00012167689153097814","0.00012167689153097814","27:0.0024062254619620915;29:0.001097476272800657","27:68;29:68","27:0.00249422188066023;29:0.0012104334172473585","0.004638671875","0.001953125","Yes"
"29","306.0952849428749","227.66666943416024","0.00634765625","0.0068359375","0.005859375","2200","0.00017059986939721062","32","0.00017059986939721062","0","0.00017059986939721062","0.00017059986939721062","38:0.0008947802446297171;28:0.001097476272800657;30:0.0017222453343841981","38:68;28:68;30:68","38:0.0011749706218183165;28:0.0012104334172473585;30:0.0020431446340590242","0.00634765625","0.005615234375","Yes"
"30","173.040422098098","174.6966553845841","0.009521484375","0.015625","0.00341796875","2200","0.00026816712725814487","32","0.00026816712725814487","0","0.00026816712725814487","0.00026816712725814487","31:0.0014980094545145595;29:0.0017222453343841981","31:68;29:68","31:0.0021597603243043717;29:0.0020431446340590242","0.009521484375","0.0048828125","Yes"
"31","289.5473991378971","289.8931278397748","0.002197265625","0.00439453125","0","2200","0.00022726146779160553","32","0.00022726146779160553","0","0.00022726146779160553","0.00022726146779160553","30:0.0014980094545145595;32:0.0012666379964673402;18:0.0010903530181359533","30:68;32:68;18:68","30:0.0021597603243043717;32:0.001450944156273587;18:0.0011349648706019677","0.002197265625","0.00244140625","Yes"
